Rk,team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
187,Merrimack,MAAC,18-15,-2.2,99.9,102,64.4,-0.002,-5.41,103.9,109.3,7.19
188,Rice,Amer,13-19,-2.2,106.3,108.6,65.3,-0.084,-2.12,105.3,107.4,-7.9
189,Wyoming,MWC,20-Dec,-2.3,103.4,105.7,64.6,-0.027,4.71,109.3,104.6,-3.02
190,South Carolina St.,MEAC,20-13,-2.4,102.6,105,69.2,-0.05,-8.54,102.6,111.2,0.5
191,UTSA,Amer,19-Dec,-2.4,107.2,109.6,69.9,-0.051,1.41,107.4,106,1.46
192,Miami FL,ACC,24-Jul,-2.5,113.5,116,67.4,-0.13,7.7,110,102.3,-2.45
193,Southern Illinois,MVC,14-19,-2.7,105.6,108.3,67.9,-0.025,1.25,108.3,107.1,2.48
194,Southeastern Louisiana,Slnd,18-14,-2.7,104.6,107.3,66.9,0.011,-3.84,104.6,108.4,-0.55
195,Texas St.,SB,16-16,-2.8,109.5,112.3,65.9,-0.041,-2.6,104.4,107,-0.44
196,Ohio,MAC,16-16,-2.8,106.2,109,70.3,-0.064,-3.4,106.2,109.6,-1.41
197,Central Michigan,MAC,14-17,-2.8,105.4,108.3,67.1,-0.091,-2.04,106.3,108.3,11.56
198,South Florida,Amer,13-19,-2.8,103.5,106.3,68.2,-0.047,0.37,108.1,107.8,-5.44
199,Elon,CAA,17-15,-2.9,107.4,110.4,65.1,-0.026,-3.39,105,108.4,-0.43
200,UNC Asheville,BSth,21-11,-3,109,112,68.1,0.123,-3.22,106.4,109.6,-0.54
201,Indiana St.,MVC,14-18,-3.2,109,112.2,72.2,-0.044,-0.03,106.4,106.5,-4
202,Youngstown St.,Horz,21-13,-3.2,102.2,105.4,69.2,0.058,-4.73,105.2,109.9,-5.92
203,Southeast Missouri,OVC,21-12,-3.2,101.9,105.1,68.8,0.023,-7.34,101.8,109.1,3.87
204,Queens,ASun,19-14,-3.2,106.3,109.5,68.4,0.052,-3.41,105.8,109.2,0.75
205,Dartmouth,Ivy,14-14,-3.3,100.1,103.5,70.9,-0.057,-3.88,106,109.9,-6.58
206,Seton Hall,BE,25-Jul,-3.5,98.7,102.2,64.4,-0.042,9.93,112.1,102.1,-2.87
207,Portland St.,BSky,19-13,-3.6,100.5,104,68.4,0.015,-4.6,105.7,110.3,-1.25
208,Brown,Ivy,14-13,-3.7,103.1,106.8,65.8,0.022,-3.73,105.7,109.4,-5.64
209,Northeastern,CAA,17-15,-3.7,103.6,107.3,67.3,0.019,-4.05,104,108,-3.62
210,Valparaiso,MVC,15-19,-3.8,105.8,109.6,68,-0.001,0.18,106.5,106.4,-4.22
211,Longwood,BSth,18-14,-3.8,106,109.8,69,0.002,-4.03,106.3,110.3,-4.19
212,Idaho St.,BSky,15-15,-3.9,105.8,109.7,66,-0.059,-3.83,105.4,109.3,2.07
213,Quinnipiac,MAAC,20-13,-4.1,102,106.1,71.6,0.031,-6.97,101.9,108.9,-0.2
214,Hampton,CAA,17-16,-4.2,103.7,107.9,65.5,-0.003,-2.56,106.4,108.9,0.1
215,SIU Edwardsville,OVC,22-11,-4.3,101.9,106.2,65.8,0.052,-9,101.4,110.4,-3.38
216,Pepperdine,WCC,13-22,-4.3,106.4,110.6,69,-0.022,2.86,108.1,105.2,-4.21
217,Massachusetts,A10,20-Dec,-4.4,102.2,106.6,70.2,-0.05,0.63,106,105.4,-3.6
218,Abilene Christian,WAC,16-16,-4.5,97.7,102.1,69.4,0.036,-1.19,104.4,105.5,0.97
219,Hofstra,CAA,15-18,-4.5,97.9,102.4,63.6,-0.047,-3.11,105,108.1,1.93
220,Maine,AE,20-14,-4.5,100.1,104.6,65.9,0.004,-7.1,103.5,110.6,-3.85
221,Campbell,CAA,15-17,-4.5,101.6,106.1,65.8,-0.058,-4.18,105.1,109.3,-4.16
222,Wright St.,Horz,15-18,-4.6,109.5,114.1,67.4,-0.06,-3.26,106,109.3,0.68
223,La Salle,A10,14-19,-4.9,103.6,108.4,68.5,0.046,2.01,107.3,105.3,-1.27
224,UT Arlington,WAC,13-18,-5,107.3,112.3,67.5,-0.035,-1.33,104,105.3,-0.16
225,Little Rock,OVC,19-14,-5,99.1,104.1,66.9,0.021,-7.68,101.7,109.4,2.26
226,Bucknell,PL,18-15,-5,102.7,107.7,67.2,0.009,-7.47,103,110.5,0.28
227,Hawaii,BW,15-16,-5.1,102.9,108,65.9,0.025,-1.21,105.8,107,-2.39
228,Northwestern St.,Slnd,16-16,-5.2,102.6,107.8,64,0.079,-0.21,106.2,106.4,11.72
229,William & Mary,CAA,17-15,-5.3,107.3,112.6,71.2,0.048,-2.77,105.3,108.1,-1.17
230,Presbyterian,BSth,14-18,-5.4,104.5,109.9,64.1,-0.036,-2.5,107,109.5,-0.73
231,Delaware,CAA,16-20,-5.6,109.3,114.9,70.3,-0.017,-2.95,104.6,107.6,-1.54
232,Fordham,A10,21-Dec,-5.6,106.3,111.8,69.4,-0.003,1.44,106.4,104.9,-3.29
233,Northern Kentucky,Horz,17-16,-5.6,102.6,108.3,66.1,0.041,-2.77,106,108.7,3.39
234,Southern,SWAC,20-12,-5.7,99,104.6,68.5,0.053,-7.97,101.4,109.4,11.35
235,Toledo,MAC,18-15,-5.8,112.2,117.9,67.9,0.117,-1.92,106.2,108.1,3.83
236,Kansas City,Sum,13-20,-5.9,100.4,106.3,64.5,-0.108,-2.47,107.9,110.3,0.57
237,Manhattan,MAAC,17-13,-6,108.4,114.4,67.4,0.006,-8.63,101,109.7,-5.93
238,American,PL,22-12,-6,102,108.1,63.5,0.133,-7.13,103.2,110.4,1.62
239,UT Rio Grande Valley,Slnd,16-15,-6.2,104.7,110.9,70.4,0.007,-3.48,104.2,107.7,-0.37
240,South Dakota,Sum,19-14,-6.2,109.3,115.4,74.6,0.101,-3.33,106.9,110.3,-4.02
241,Richmond,A10,22-Oct,-6.3,102.9,109.2,63.7,-0.026,2.3,107.6,105.3,-2.81
242,Vermont,AE,21-12,-6.3,99.1,105.4,62.4,0.118,-7.11,103,110.1,-0.95
243,Cal St. Bakersfield,BW,14-19,-6.4,106.2,112.5,66,-0.02,-1.04,105.8,106.9,-2.18
244,UMass Lowell,AE,17-15,-6.4,108.5,114.9,68.5,-0.021,-7.47,101.1,108.6,-3.93
245,Missouri St.,MVC,23-Sep,-6.4,101,107.4,63.8,-0.104,0.86,108.6,107.7,-0.03
246,Incarnate Word,Slnd,17-16,-6.5,106,112.6,64.2,-0.018,-5.36,103,108.4,-5.14
247,Northern Arizona,BSky,18-15,-6.6,104.2,110.8,66.8,0.004,-5.42,105.1,110.5,-4.84
248,Jackson St.,SWAC,16-18,-6.6,100.3,106.9,68.3,0.021,-4.79,103.5,108.3,16.36
249,Mount St. Mary's,MAAC,22-12,-6.7,100.1,106.9,67.4,0.147,-7.29,101.9,109.2,-1.19
250,Georgia Southern,SB,17-16,-6.8,102.7,109.5,69.4,0.064,-4.77,104.6,109.4,-2.97
251,UC Davis,BW,15-17,-6.8,96.9,103.8,66.9,0.07,0.15,107.4,107.2,1.91
252,Tennessee St.,OVC,17-16,-7.2,102.2,109.5,70.3,-0.068,-8.44,100.9,109.3,-0.27
253,FIU,CUSA,23-Oct,-7.3,96.7,104,68.3,-0.05,0.46,107.1,106.7,-6.32
254,Siena,MAAC,14-18,-7.5,102.8,110.3,67.2,-0.067,-6.86,102.7,109.6,-0.99
255,Harvard,Ivy,15-Dec,-7.7,101.2,108.9,65.5,0.054,-2.36,105.5,107.8,-2.99
256,Charlotte,Amer,22-Nov,-7.8,104.5,112.3,64.8,-0.009,-0.24,107.3,107.6,-4.14
257,Mercer,SC,14-19,-7.9,99.3,107.2,71,-0.014,-2.33,106.3,108.6,-1.53
258,North Florida,ASun,15-17,-7.9,109.5,117.4,72.2,0.049,-2.36,106.4,108.8,6.89
259,Iona,MAAC,17-17,-7.9,98.6,106.6,68.1,0.014,-7.24,102.6,109.9,-2.87
260,Fresno St.,MWC,26-Jun,-8,100.7,108.7,70.5,-0.008,5.64,109.6,104,-2.21
261,Colgate,PL,14-19,-8,104.6,112.6,67.2,-0.057,-5.67,103.4,109.1,2.61
262,Evansville,MVC,21-Nov,-8,98.3,106.2,66.8,-0.021,1.03,108.1,107.1,0.52
263,Georgia St.,SB,14-19,-8,106.5,114.5,68.9,0.013,-3.11,105.2,108.3,-1.6
264,Gardner Webb,BSth,20-Nov,-8.1,103,111.1,69,-0.011,-2.22,107.4,109.7,0.06
265,Sacred Heart,MAAC,15-18,-8.1,104.7,112.8,70.2,-0.049,-7.55,101.8,109.3,-2.86
266,North Dakota,Sum,21-Dec,-8.2,107.6,115.9,69,-0.02,-0.63,108.1,108.7,2.67
267,Monmouth,CAA,13-20,-8.6,103.9,112.4,67,0.028,-1.83,105.4,107.3,2.27
268,Tulsa,Amer,13-20,-8.6,101.4,110,66.2,-0.044,-1.41,106.5,107.9,-9.52
269,Portland,WCC,20-Dec,-8.9,105.8,114.7,68.2,0.033,1.52,107.6,106.1,-4.03
270,Ball St.,MAC,14-17,-9.1,103.6,112.6,66.4,-0.056,-6.16,104.3,110.4,-6.61
271,Albany,AE,17-16,-9.1,103.2,112.3,67.5,0.018,-7.49,102.5,110,-4.65
272,Marist,MAAC,20-10,-9.2,97.1,106.3,64.1,0.107,-10.4,100.5,110.9,-11.78
273,Austin Peay,ASun,14-19,-9.2,101.9,111,66.1,0.025,-1.81,107.9,109.7,4.95
274,Navy,PL,15-19,-9.2,102.3,111.5,66.9,-0.04,-8.07,101.8,109.9,-6.45
275,Alabama St.,SWAC,20-15,-9.3,101.4,110.6,67.7,0.061,-8.81,100.7,109.5,6.22
276,Eastern Michigan,MAC,16-16,-9.4,104.5,113.9,67.2,0.115,-4.1,105.4,109.5,-3.2
277,Stephen F. Austin,Slnd,14-17,-9.5,95.1,104.6,67.4,0.055,-2.66,104.5,107.2,1.05
278,Houston Christian,Slnd,20-Dec,-9.5,100.6,110.1,64.8,-0.006,-2.61,104.6,107.2,5.11
279,Idaho,BSky,14-19,-9.6,107.2,116.8,66.2,0.032,-2.79,105.3,108,1.57
280,Columbia,Ivy,15-Dec,-9.6,106.3,115.9,70.7,-0.017,-5.1,104.5,109.6,-10.7
281,Texas Southern,SWAC,15-17,-9.6,96.6,106.2,69.9,-0.049,-7.29,101.8,109,12.46
282,Old Dominion,SB,15-20,-10.1,100.2,110.3,66,0.033,-3.78,105.1,108.8,-2.64
283,Lehigh,PL,19-Nov,-10.3,100.6,110.9,67.2,-0.097,-6.37,103,109.4,3.24
284,Pacific,WCC,24-Sep,-10.3,101.4,111.7,66.4,-0.033,2.43,108.5,106.1,-0.21
285,Tarleton St.,WAC,20-Dec,-10.4,93,103.4,65.5,0.025,1.44,106.4,104.9,7.28
286,LIU,NEC,17-16,-10.4,94.8,105.3,64.8,-0.003,-10.79,100.9,111.7,-2.71
287,VMI,SC,15-19,-10.5,100.3,110.7,68.1,0.027,-2.43,106.4,108.8,-2.4
288,Bethune Cookman,SWAC,17-16,-10.6,97.3,107.9,69,0.119,-5.62,102.8,108.4,8.98
289,Bowling Green,MAC,14-18,-10.6,99.1,109.7,68.7,0.004,-6.28,104.4,110.6,-6.62
290,Western Michigan,MAC,20-Dec,-10.7,101.6,112.3,67.8,-0.008,-3.44,105.6,109,0.02
291,Lafayette,PL,13-20,-10.7,98,108.8,66.1,-0.077,-8.32,102.9,111.2,-5.27
292,Tennessee Martin,OVC,14-19,-10.9,101.8,112.7,66.2,-0.042,-7.35,101.6,108.9,2.66
293,Penn,Ivy,19-Aug,-11,103.9,114.9,66.8,-0.011,-1.47,105.9,107.4,-1.58
294,Southern Miss,SB,22-Nov,-11.1,97.7,108.8,70.8,-0.007,-2.19,105.2,107.4,0.39
295,Eastern Washington,BSky,22-Oct,-11.1,101.7,112.8,66.8,0.002,-1.25,107.1,108.3,6.31
296,Southern Utah,WAC,19-Dec,-11.2,98.1,109.3,68.9,0.032,-1.34,104.7,106,0.32
297,San Diego,WCC,27-Jun,-11.3,99.3,110.6,71,-0.074,0.92,107.5,106.6,-4.29
298,Saint Peter's,MAAC,16-Dec,-11.5,94.9,106.3,63.8,0.007,-7.19,103.2,110.4,-0.12
299,UMBC,AE,13-19,-11.5,106.5,117.9,70.4,-0.072,-7.54,101.5,109.1,-5.53
300,Weber St.,BSky,22-Dec,-11.6,101.1,112.7,65.6,-0.011,-2.52,106.3,108.8,2.83
301,Utah Tech,WAC,26-Jul,-11.8,101.7,113.5,67.4,-0.062,-0.06,105.1,105.1,3.27
302,Charleston Southern,BSth,22-Oct,-12,99.7,111.6,67.3,0.04,-0.06,108.5,108.5,4.48
303,Tennessee Tech,OVC,15-17,-12.2,100.8,113.1,67.7,0.045,-7.79,101.5,109.3,0.82
304,Boston University,PL,16-16,-12.4,99,111.3,63,0.061,-8.44,102.1,110.5,-5.91
305,Loyola MD,PL,19-Dec,-12.4,100.4,112.8,66.5,-0.03,-8.21,101.9,110.1,-5.38
306,Long Beach St.,BW,25-Jul,-12.4,101.6,114.1,64,-0.071,0.68,106.7,106,2.08
307,Delaware St.,MEAC,16-14,-12.5,101.7,114.2,70.2,0.054,-8.53,102.6,111.2,-1.2
308,Fairleigh Dickinson,NEC,13-20,-12.6,98.3,110.8,69.1,-0.073,-7.99,101.9,109.9,2.55
309,Denver,Sum,21-Nov,-12.6,98.7,111.3,66.4,0.005,-1.73,108.2,110,-0.57
310,St. Francis PA,NEC,16-18,-12.8,99.6,112.4,66.9,0.06,-6.91,101.5,108.4,7.94
311,Air Force,MWC,28-Apr,-12.8,98.8,111.6,64.4,-0.085,4.82,109.2,104.4,-4.02
312,Howard,MEAC,20-Dec,-13.2,103.7,116.9,69.9,0,-6.68,103.2,109.9,2
313,Louisiana,SB,21-Dec,-13.2,97.9,111.1,66.2,0.085,-2.19,104.9,107.1,1.51
314,IU Indy,Horz,22-Oct,-13.3,109.5,122.8,64.8,-0.073,-3.52,104.6,108.1,-2.98
315,Eastern Illinois,OVC,19-Dec,-13.3,93.5,106.9,66.1,0.003,-5.66,102.9,108.6,11.32
316,Rider,MAAC,14-19,-13.3,101.7,115,64.8,0.074,-6.51,102.7,109.2,0.17
317,Florida A&M,SWAC,14-17,-13.7,101.5,115.2,67.1,0.063,-6.18,101.6,107.8,19.72
318,Grambling St.,SWAC,22-Dec,-13.9,95.2,109.1,63.8,-0.074,-8.18,101.3,109.5,10.58
319,Binghamton,AE,15-17,-14,98.8,112.7,65.7,0.056,-7.61,102.7,110.3,-5.58
320,Holy Cross,PL,13-19,-14,101.8,115.8,66,0.038,-6.37,102.6,108.9,-0.64
321,Niagara,MAAC,20-Nov,-14.2,101.1,115.3,65,-0.022,-8.11,101.1,109.2,-5.23
322,Stonehill,NEC,15-17,-14.3,100.8,115.1,64.9,0.031,-9.72,100.3,110,-3.01
323,North Carolina Central,MEAC,14-19,-14.3,102.8,117.1,66.8,0.015,-6.85,103.5,110.3,-0.34
324,Army,PL,16-15,-14.6,99.8,114.3,67.6,0.132,-7.83,102.9,110.8,-5.06
325,Alcorn St.,SWAC,21-Nov,-14.6,97.6,112.2,64.6,-0.01,-4.87,103.3,108.2,13.3
326,Lindenwood,OVC,16-17,-14.7,94.1,108.8,69.6,0.108,-7.51,102.4,109.9,4.77
327,Morehead St.,OVC,15-17,-14.7,97.7,112.4,64,0.079,-6.9,101.5,108.4,5.11
328,Coastal Carolina,SB,22-Oct,-14.8,100.5,115.3,63.2,-0.048,-4.84,103.9,108.7,-5.96
329,Oral Roberts,Sum,23-Jul,-15,102.8,117.8,67.2,-0.006,0.17,108.7,108.5,7.34
330,East Texas A&M,Slnd,26-May,-15,96.5,111.5,67.3,-0.027,-1.21,105.6,106.8,4.79
331,Morgan St.,MEAC,14-18,-15.4,101.6,117,70.4,0.012,-8.83,102.2,111.1,-3.93
332,Stony Brook,CAA,24-Aug,-15.7,101.9,117.6,64.4,-0.017,-3.21,104.8,108,-1.08
333,Fairfield,MAAC,20-Dec,-16,98.1,114.1,66,0.07,-6.5,102.4,108.9,-3.08
334,Green Bay,Horz,28-Apr,-16.1,100.7,116.8,68.9,-0.05,-1.24,106.5,107.8,3.62
335,North Carolina A&T,CAA,25-Jul,-16.4,97,113.3,69,0,-3.03,105,108,-1.26
336,Southern Indiana,OVC,20-Oct,-16.5,98.3,114.8,66.9,-0.027,-7.82,101.8,109.6,-2.31
337,Detroit Mercy,Horz,24-Aug,-17,95.1,112.1,67,0.028,-2.06,106.8,108.9,1.26
338,Western Carolina,SC,22-Aug,-17,95.3,112.3,70.3,0.011,0.18,107.5,107.3,7.3
339,Buffalo,MAC,22-Sep,-17.4,96.4,113.7,70.7,0.028,-2.95,106,108.9,0.5
340,USC Upstate,BSth,26-Jun,-17.5,98.4,115.9,72.7,-0.021,-0.74,107.3,108.1,2.65
341,Bellarmine,ASun,26-May,-17.6,103.8,121.4,66.2,-0.109,-3.76,105.3,109.1,-1.2
342,Mercyhurst,NEC,15-16,-17.9,98.8,116.6,64.7,0.099,-9.28,100.6,109.9,-1.57
343,Northern Illinois,MAC,25-Jun,-17.9,94.4,112.3,68.8,-0.091,-3.26,105.8,109,-0.62
344,Sacramento St.,BSky,25-Jul,-18.1,95.2,113.3,65.5,-0.02,-3.72,105.5,109.3,-1.11
345,Louisiana Monroe,SB,25-Jul,-18.1,96.2,114.3,67.6,-0.028,-3.41,104.6,108,-3.66
346,Central Arkansas,ASun,24-Sep,-18.1,97.7,115.8,66.3,0.036,-2.54,106.5,109,2.23
347,Wagner,NEC,14-16,-18.1,92.2,110.3,60.3,0.061,-10.39,99.9,110.3,-2.05
348,Western Illinois,OVC,19-Dec,-18.2,99,117.2,64.2,0.037,-7.98,101.4,109.3,-2.51
349,West Georgia,ASun,25-Jun,-18.25,96.8,115.1,68,0.012,-2.26,106.6,108.9,2.11
350,New Orleans,Slnd,27-Apr,-18.27,99.4,117.6,69.1,-0.016,1.01,106.7,105.7,10.75
351,Cal St. Fullerton,BW,26-Jun,-18.72,93.7,112.4,68.1,-0.02,1.81,107.4,105.6,4.75
352,Stetson,ASun,24-Aug,-19.23,99.4,118.6,67.6,-0.015,-4.31,105.8,110.1,0.22
353,NJIT,AE,25-Jun,-20.37,93.2,113.5,66.4,-0.054,-6.6,103,109.6,-4.05
354,Le Moyne,NEC,23-Sep,-20.74,101.1,121.9,68.5,0.004,-7.37,101.6,108.9,0.22
355,New Hampshire,AE,24-Aug,-21.67,93.7,115.4,67.3,0.019,-6.1,103.6,109.7,-3.47
356,The Citadel,SC,25-May,-21.68,95,116.7,64.5,-0.134,-3.15,105.6,108.8,-7.45
357,Prairie View A&M,SWAC,27-May,-22.14,95.6,117.7,70.2,-0.062,-5.48,102.9,108.4,10.99
358,Maryland Eastern Shore,MEAC,25-Jun,-22.61,95.8,118.4,65.5,-0.113,-3.02,105.3,108.3,9.87
359,Canisius,MAAC,28-Mar,-23.03,99,122,66.1,-0.078,-4.9,102.8,107.7,3.71
360,Alabama A&M,SWAC,22-Oct,-23.5,92,115.5,71,-0.022,-9.7,101.1,110.8,1.86
361,Coppin St.,MEAC,24-Jun,-24.29,87.3,111.6,67.7,0.033,-4.31,105.3,109.6,4.32
362,Chicago St.,NEC,28-Apr,-24.38,91.8,116.2,68.2,-0.024,-3.3,104.3,107.6,8.49
363,Arkansas Pine Bluff,SWAC,25-Jun,-26.08,95.1,121.1,71.4,-0.074,-8.64,100.9,109.6,7.05
364,Mississippi Valley St.,SWAC,28-Mar,-42.23,82.6,124.8,64.8,-0.016,-3.51,103.8,107.3,18.5
